iter	Passed	Remaining
0	77	77689
1	111	55827
2	137	45723
3	168	41916
4	198	39594
5	229	38036
6	263	37335
7	293	36427
8	325	35788
9	355	35193
10	387	34797
11	418	34418
12	437	33204
13	477	33622
14	512	33683
15	525	32296
16	555	32100
17	584	31900
18	614	31734
19	643	31542
20	677	31562
21	707	31430
22	737	31336
23	757	30823
24	780	30431
25	814	30498
26	844	30430
27	874	30361
28	905	30305
29	938	30356
30	955	29882
31	985	29810
32	1028	30130
33	1058	30065
34	1088	30022
35	1106	29620
36	1130	29428
37	1161	29409
38	1191	29366
39	1223	29359
40	1254	29342
41	1284	29303
42	1314	29246
43	1344	29216
44	1357	28800
45	1387	28769
46	1420	28795
47	1441	28579
48	1471	28555
49	1502	28542
50	1529	28468
51	1561	28459
52	1590	28427
53	1621	28403
54	1651	28379
55	1681	28350
56	1711	28319
57	1746	28358
58	1776	28339
59	1802	28236
60	1832	28205
61	1862	28180
62	1874	27875
63	1903	27837
64	1934	27824
65	1959	27727
66	1994	27768
67	2024	27749
68	2049	27655
69	2065	27443
70	2096	27436
71	2127	27424
72	2157	27398
73	2187	27373
74	2211	27276
75	2243	27281
76	2275	27271
77	2306	27264
78	2336	27240
79	2367	27222
80	2397	27197
81	2437	27285
82	2474	27339
83	2507	27339
84	2538	27327
85	2569	27309
86	2600	27286
87	2622	27173
88	2647	27096
89	2677	27072
90	2710	27070
91	2742	27065
92	2754	26865
93	2785	26844
94	2815	26823
95	2846	26803
96	2877	26791
97	2907	26760
98	2937	26729
99	2967	26709
100	2997	26683
101	3013	26532
102	3044	26517
103	3075	26497
104	3106	26476
105	3131	26408
106	3161	26385
107	3178	26250
108	3209	26235
109	3239	26206
110	3269	26185
111	3300	26170
112	3329	26137
113	3359	26112
114	3389	26082
115	3418	26050
116	3449	26033
117	3481	26022
118	3512	26003
119	3546	26004
120	3565	25901
121	3596	25882
122	3627	25861
123	3657	25838
124	3677	25743
125	3708	25724
126	3739	25702
127	3769	25677
128	3800	25663
129	3830	25637
130	3855	25577
131	3885	25547
132	3901	25433
133	3931	25405
134	3961	25381
135	3992	25361
136	4023	25343
137	4053	25317
138	4083	25295
139	4113	25268
140	4137	25209
141	4169	25191
142	4200	25171
143	4212	25039
144	4244	25028
145	4275	25009
146	4305	24985
147	4335	24958
148	4366	24937
149	4399	24932
150	4438	24953
151	4471	24945
152	4502	24926
153	4532	24900
154	4545	24780
155	4571	24731
156	4602	24710
157	4632	24686
158	4663	24667
159	4693	24638
160	4717	24585
161	4748	24560
162	4779	24544
163	4810	24521
164	4840	24497
165	4870	24472
166	4900	24446
167	4930	24418
168	4954	24364
169	4985	24342
170	5007	24277
171	5037	24251
172	5067	24225
173	5097	24200
174	5127	24173
175	5152	24125
176	5175	24065
177	5206	24043
178	5223	23958
179	5254	23937
180	5284	23911
181	5315	23889
182	5346	23868
183	5362	23781
184	5379	23700
185	5411	23682
186	5443	23666
187	5473	23640
188	5498	23594
189	5516	23517
190	5547	23497
191	5576	23467
192	5601	23421
193	5630	23392
194	5642	23292
195	5674	23277
196	5710	23275
197	5729	23208
198	5750	23145
199	5781	23124
200	5811	23100
201	5842	23079
202	5873	23060
203	5902	23032
204	5932	23005
205	5964	22987
206	5994	22963
207	6014	22901
208	6045	22878
209	6076	22858
210	6100	22811
211	6116	22733
212	6146	22708
213	6168	22656
214	6189	22598
215	6220	22579
216	6251	22555
217	6282	22536
218	6312	22513
219	6324	22424
220	6336	22334
221	6369	22321
222	6403	22312
223	6432	22285
224	6463	22264
225	6481	22198
226	6506	22156
227	6538	22137
228	6568	22113
229	6598	22091
230	6627	22064
231	6648	22008
232	6677	21982
233	6710	21966
234	6741	21945
235	6780	21950
236	6824	21970
237	6862	21972
238	6901	21975
239	6927	21936
240	6968	21947
241	6992	21902
242	7034	21913
243	7077	21928
244	7116	21930
245	7157	21938
246	7197	21941
247	7228	21918
248	7262	21904
249	7297	21891
250	7322	21851
251	7365	21863
252	7398	21844
253	7434	21834
254	7476	21843
255	7511	21830
256	7545	21814
257	7583	21809
258	7624	21813
259	7662	21808
260	7693	21783
261	7734	21786
262	7768	21769
263	7799	21745
264	7829	21715
265	7860	21689
266	7894	21671
267	7924	21643
268	7955	21619
269	7976	21566
270	8006	21537
271	8022	21471
272	8053	21446
273	8077	21402
274	8109	21378
275	8139	21352
276	8170	21324
277	8194	21283
278	8225	21257
279	8256	21231
280	8285	21201
281	8306	21148
282	8339	21127
